601,307,224,141,63
374,271,209,112,69
423,231,191,149,64
305,229,166,106,43
454,188,139,84,40
247,184,129,91,44
228,171,132,89,25
268,200,138,95,31
320,249,213,174,88
257,198,155,96,35
236,190,124,71,25
233,174,128,90,29
262,193,130,88,38
291,227,170,112,27
361,292,249,151,88
295,236,155,93,47
306,248,148,93,45
231,187,147,90,45
261,193,129,91,33
248,187,147,101,48
300,227,137,78,35
298,230,184,146,40
334,266,224,165,42
303,232,189,109,62
288,230,168,128,44
228,195,128,91,46
222,173,131,92,48
316,252,209,169,50
261,193,150,86,29
225,171,133,86,26
307,250,165,91,40
247,190,148,77,36
279,212,152,110,66
236,172,130,92,46
242,191,150,106,47
528,473,389,242,18
267,214,169,109,45
276,231,191,148,70
316,232,170,131,56
246,173,132,97,48
262,191,132,90,49
537,492,431,91,25
364,210,146,84,42
233,191,150,92,46
275,232,190,131,67
236,154,109,69,27
207,157,114,75,31
442,375,332,274,214
446,374,330,288,69
234,192,150,92,49
429,353,292,71,27
264,207,120,69,24
329,247,170,119,63
230,192,153,90,44
220,168,126,89,44
246,191,130,91,48
277,202,131,87,48
325,253,190,92,28
228,184,130,87,46
241,191,147,111,64
346,234,188,130,50
290,251,173,112,49
272,213,167,110,42
197,151,113,69,28
234,169,131,81,36
314,245,188,110,49
285,212,130,89,45
241,192,150,91,28
268,231,191,132,48
246,170,131,89,28
221,170,131,91,44
249,172,107,68,29
354,294,230,181,129
309,256,199,137,35
294,173,130,72,25
255,184,123,80,40
319,231,165,111,48
348,289,229,193,142
290,245,186,105,43
253,212,169,121,47
248,208,151,111,67
251,190,132,88,41
228,171,130,86,44
227,187,118,78,34
273,227,188,124,46
271,210,169,110,48
268,198,137,96,50
249,180,117,76,30
207,166,109,75,31
662,610,567,470,225
280,216,159,94,31
233,172,129,73,29
211,166,122,85,42
245,192,132,89,45
239,191,146,92,45
289,212,171,130,41
636,212,151,111,43
275,212,149,110,36
265,213,168,128,66
259,173,130,91,37
