522,464,266
207,149,78
410,364,218
142,88,44
153,108,43
143,90,44
105,66,24
138,84,24
128,86,40
129,69,24
164,107,46
255,91,24
176,108,25
142,68,23
147,106,61
159,108,47
193,148,58
184,128,61
148,65,27
145,89,28
154,107,44
181,109,37
180,106,42
139,81,42
429,253,96
179,126,47
159,107,46
159,85,38
150,85,38
151,103,44
169,107,44
182,128,66
378,87,43
207,147,66
157,107,41
169,108,38
140,89,27
129,86,45
162,84,39
139,86,27
148,112,28
162,89,40
169,107,61
123,68,24
160,107,28
139,101,35
193,129,77
141,90,40
180,90,37
145,89,41
152,107,59
111,67,25
115,72,26
205,131,83
129,70,23
161,89,45
175,111,38
133,70,25
169,105,42
111,67,22
178,133,63
166,108,40
148,86,41
174,106,45
235,127,64
207,109,48
191,115,32
181,110,46
330,219,43
125,69,25
157,106,48
152,109,48
123,70,25
140,70,25
175,108,63
145,88,47
160,108,61
109,68,23
147,90,45
159,105,62
156,91,28
265,110,66
124,82,23
147,91,43
174,109,60
144,89,41
135,86,41
159,106,40
199,149,83
168,89,33
134,88,45
152,92,27
202,132,48
160,90,24
149,89,27
125,90,39
139,102,34
145,91,26
162,87,43
201,69,24
